,,,,,,
,plot_id,species,n,h,Browsing,notes
,c05,Acer pseudoplatanus,5,1,0,
,c05,Acer pseudoplatanus,11,1,1,
,c05,Unknown,2,2,0,
,c07vip,Fagus sylvatica,1,1,1,from stump
,c08,Picea abies,73,1,0,
,c08,Picea abies,43,1,0,
,c08,Picea abies,35,1,0,
,c08,Larix decidua,11,1,0,
,c08,Picea abies,38,1,0,
,c08,Sorbus aucuparia,8,1,0,
,c08,Populus spp.,2,2,0,(p. tremula)
,c08,Picea abies,83,1,0,
,c08,nn2,7,2,0,
,c08,nn2,4,1,0,
,c09,Picea abies,1,1,0,
,c09,Larix decidua,1,1,0,
,b08,Sorbus aucuparia,4,1,0,
,b08,Unknown,3,1,0,dry
,b08,Unknown,2,1,0,
,b10,Picea abies,1,1,0,
,b10,Alnus glutinosa,1,1,0,
,b10,Acer platanoides,1,1,0,
,b10,Larix decidua,1,1,0,
,b10,Picea abies,1,1,0,
,b10,Sorbus aucuparia,1,1,0,
,b10,Picea abies,1,1,0,
,b10,Picea abies,2,1,0,
,b10,Picea abies,1,1,0,
,b13,Acer pseudoplatanus,33,1,0,
,b13,Fraxinus excelsior,18,1,0,
,b13,Fraxinus excelsior,38,1,0,
,b13,Quercus robur,2,1,0,from stump
,b13,Carpinus betulus,38,1,0,
,b13,Acer pseudoplatanus,44,1,0,
,b13,Acer pseudoplatanus,6,2,0,
,b13,Acer pseudoplatanus,28,1,0,
,b13,Carpinus betulus,13,1,1,
,b13,Acer pseudoplatanus,1,1,1,
,b13,Acer campestre,1,1,0,
,c10,Sorbus aucuparia,8,1,0,
,c10,Picea abies,2,1,0,
,c10,Pinus sylvestris,3,1,1,
,c10,Quercus robur,6,1,0,
,c10,Corylus avellana,1,1,1,
,c10,Pinus sylvestris,3,1,0,
,c10,Pinus sylvestris,3,1,1,dry
,c10,Fraxinus excelsior,1,1,0,
,c11,Carpinus betulus,1,2,0,
,c11,Fagus sylvatica,2,1,1,
,c11,Fagus sylvatica,4,1,0,
,c11,Acer platanoides,1,1,1,
,c11,Acer pseudoplatanus,6,1,0,
,c11,Acer pseudoplatanus,6,1,0,
,c11,Acer pseudoplatanus,8,1,0,
,c11,Fraxinus excelsior,1,1,0,
,c11,Fagus sylvatica,2,1,0,
,c11,Acer pseudoplatanus,2,1,1,
,c11,Corylus avellana,1,1,1,
,c11,Acer pseudoplatanus,14,1,0,
,a02vip,Quercus robur,1,1,1,
,a02vip,Corylus avellana,1,1,1,
,a02vip,Corylus avellana,3,1,0,
,a02vip,Corylus avellana,1,1,1,
,a02vip,Corylus avellana,1,1,0,
,a02vip,Corylus avellana,1,2,0,
,a02vip,Corylus avellana,2,1,1,
,a02vip,Corylus avellana,1,1,1,broken
,a02vip,Corylus avellana,5,2,0,
,a02vip,Corylus avellana,6,2,0,
,a02vip,Corylus avellana,1,1,0,
,a02vip,Quercus robur,1,1,1,
,a02vip,Sorbus aucuparia,1,2,0,
,a02vip,Sorbus aucuparia,5,1,0,
,a02vip,Corylus avellana,8,2,0,
,a02vip,Quercus robur,2,1,1,
,a02vip,Corylus avellana,5,1,0,
,a02vip,Corylus avellana,3,2,0,
,a02vip,Picea abies,2,1,0,
,a03vip,Acer pseudoplatanus,1,1,1,
,a03vip,Fraxinus excelsior,1,1,0,
,a03vip,Carpinus betulus,1,1,1,
,a03vip,Fraxinus excelsior,1,1,0,
,a03vip,Picea abies,1,1,0,
,a03vip,Corylus avellana,1,1,1,
,a03vip,Carpinus betulus,1,1,0,
,a03vip,Carpinus betulus,2,1,1,
,a03vip,Corylus avellana,19,2,0,
,a03vip,Corylus avellana,6,2,0,
,a03vip,Acer pseudoplatanus,1,1,1,
,a03vip,Corylus avellana,13,2,0,
,a03vip,Acer pseudoplatanus,1,1,1,
,a03vip,Acer pseudoplatanus,3,1,1,
,a03vip,Acer pseudoplatanus,3,1,1,
,a03vip,Acer pseudoplatanus,2,1,0,
,a03vip,Acer pseudoplatanus,1,2,0,
,a03vip,Acer pseudoplatanus,1,1,1,
,a03vip,Acer pseudoplatanus,2,1,1,
,a03vip,Corylus avellana,3,2,0,
,a03vip,Corylus avellana,1,1,0,
,a03vip,Acer pseudoplatanus,7,1,1,
,a03vip,Acer pseudoplatanus,5,1,0,
,a03vip,Acer pseudoplatanus,3,2,0,
,a03vip,Acer pseudoplatanus,1,1,0,
,a03vip,Corylus avellana,1,1,0,
,a03vip,Corylus avellana,1,2,0,
,a03vip,Acer pseudoplatanus,10,1,1,
,a03vip,Acer pseudoplatanus,18,1,0,
,a03vip,Carpinus betulus,1,1,0,
,a03vip,Carpinus betulus,3,1,1,
,a03vip,Sorbus aucuparia,1,1,1,
,b01vip,Picea abies,2,1,0,
,b01vip,Populus spp.,1,1,0,(p. tremula)
,b02vip,Quercus robur,1,1,0,
,b02vip,Picea abies,1,2,0,
,b02vip,Picea abies,1,1,0,
,b02vip,Sorbus aucuparia,11,1,0,
,b02vip,Sorbus aucuparia,1,1,1,
,b02vip,Picea abies,1,1,0,
,b02vip,Betula pendula,1,2,0,
,b02vip,Sorbus aucuparia,3,2,0,
,b02vip,Betula pendula,1,2,0,
,b02vip,Quercus robur,1,1,0,
,b02vip,Picea abies,1,1,0,
,b02vip,Sorbus aucuparia,13,1,0,
,b02vip,Sorbus aucuparia,4,1,1,
,b02vip,Quercus robur,6,1,0,
,b02vip,Quercus robur,1,1,1,
,b02vip,Sorbus aucuparia,6,1,0,
,b02vip,Sorbus aucuparia,3,1,1,
,b02vip,Sorbus aucuparia,7,1,0,
,b02vip,Picea abies,1,1,0,
,b02vip,Sorbus aucuparia,3,2,0,
,b02vip,Sorbus aucuparia,2,1,0,
,b02vip,Sorbus aucuparia,1,1,1,
,b02vip,Sorbus aucuparia,2,1,0,
,b02vip,Sorbus aucuparia,3,1,1,
,b02vip,Picea abies,1,1,0,
,b02vip,Sorbus aucuparia,2,2,0,
,b02vip,Sorbus aucuparia,3,1,1,
,b02vip,Sorbus aucuparia,2,1,0,
,b02vip,Sorbus aucuparia,3,1,1,
,b02vip,Sorbus aucuparia,2,1,0,
,b02vip,Sorbus aucuparia,3,1,0,
,b02vip,Sorbus aucuparia,2,1,1,
,b02vip,Picea abies,2,1,0,
,b02vip,Picea abies,1,1,0,
,b02vip,Picea abies,1,2,0,
,b02vip,Quercus robur,1,1,0,
,b02vip,Sorbus aucuparia,5,1,0,
,b03vip,Unknown,1,1,1,foto 30.05. - 19.45
,b03vip,Unknown,1,2,1,idem
,b03vip,Fraxinus excelsior,9,1,0,
,b03vip,Unknown,3,1,0,idem
,b03vip,Fraxinus excelsior,16,1,0,
,b03vip,Fraxinus excelsior,6,1,1,
,b03vip,Sorbus aucuparia,3,1,1,
,b03vip,Sorbus aucuparia,3,1,0,
,b03vip,Unknown,2,2,0,idem
,b03vip,Fraxinus excelsior,12,1,0,
,b03vip,Fraxinus excelsior,1,2,1,
,b03vip,Unknown,1,1,0,
,b03vip,Unknown,1,2,0,
,b03vip,Unknown,1,2,0,
,b04vip,Abies alba,10,1,0,
,b04vip,Abies alba,21,2,0,
,b04vip,Picea abies,47,1,0,
,b04vip,Picea abies,37,1,0,
,b04vip,Picea abies,52,1,0,
,b04vip,Picea abies,1,2,0,
,b04vip,Picea abies,48,1,0,
,b04vip,Picea abies,36,1,0,
,b04vip,Picea abies,48,1,0,
,b04vip,Fagus sylvatica,1,1,1,
,b04vip,Picea abies,48,1,0,
,b04vip,Picea abies,18,1,0,
,b04vip,Fagus sylvatica,1,2,0,
,b05vip,Picea abies,1,1,0,
,b05vip,Acer pseudoplatanus,1,1,1,
,b05vip,Picea abies,1,1,1,
,b05vip,Fraxinus excelsior,1,1,1,
,b05vip,Picea abies,1,1,0,dry
,b05vip,Picea abies,1,1,0,
,b05vip,Picea abies,2,1,0,
,b05vip,Picea abies,1,1,1,dry
,b05vip,Picea abies,2,1,0,
,b05vip,Acer pseudoplatanus,1,1,1,
,b06vip,Acer pseudoplatanus,4,1,1,
,b06vip,Acer pseudoplatanus,2,1,0,
,b06vip,Quercus robur,2,1,0,
,b06vip,Acer pseudoplatanus,5,1,0,
,b06vip,Acer pseudoplatanus,4,1,0,
,b06vip,Acer pseudoplatanus,12,1,1,
,b06vip,Fagus sylvatica,1,1,1,
,b06vip,Acer pseudoplatanus,4,1,0,
,b06vip,Acer pseudoplatanus,2,1,1,
,b06vip,Acer pseudoplatanus,4,1,1,
,b06vip,Acer pseudoplatanus,2,1,0,
,b06vip,Fagus sylvatica,1,2,0,
,b07vip,Picea abies,3,1,0,
,b07vip,Acer pseudoplatanus,2,1,1,
,b07vip,Acer pseudoplatanus,2,1,0,
,b07vip,Picea abies,1,1,0,
,b07vip,Acer pseudoplatanus,1,1,0,
,b07vip,Betula pendula,2,1,1,
,d02vip,Picea abies,1,1,0,
,d02vip,Picea abies,11,1,0,
,d02vip,Picea abies,15,1,0,
,d02vip,Picea abies,3,2,0,
,d02vip,Picea abies,18,1,0,
,d02vip,Carpinus betulus,1,2,0,
,d02vip,Carpinus betulus,1,1,1,
,d02vip,Populus spp.,2,1,1,
,d02vip,Picea abies,16,1,0,
,d02vip,Acer pseudoplatanus,10,1,0,
,d02vip,Acer pseudoplatanus,1,1,1,
,d02vip,Larix decidua,7,1,0,
,d02vip,Picea abies,9,1,0,
,d02vip,Acer pseudoplatanus,5,1,0,
,d02vip,Picea abies,4,2,0,
,d02vip,Acer pseudoplatanus,10,1,0,
,d02vip,Acer pseudoplatanus,5,1,1,
,d02vip,Unknown,2,1,1,
,d02vip,Unknown,1,2,0,
,d02vip,Populus spp.,1,1,1,
,d02vip,Picea abies,4,1,0,
,d02vip,Fagus sylvatica,2,1,0,
,d02vip,Unknown,7,1,1,
,d02vip,Unknown,13,1,0,
,d02vip,Unknown,3,2,0,
,d02vip,Picea abies,38,1,0,
,d02vip,Picea abies,9,2,0,
,d02vip,Fagus sylvatica,3,2,0,
,d02vip,Picea abies,67,1,0,
,d02vip,Sorbus aucuparia,1,1,1,
,d02vip,Sorbus aucuparia,1,1,0,
,d02vip,Quercus robur,1,1,1,
,d02vip,Acer pseudoplatanus,5,1,1,
,d02vip,Acer pseudoplatanus,3,1,0,
,d02vip,Betula pendula,1,1,1,
,d02vip,Picea abies,13,1,0,
,d02vip,Betula pendula,1,1,0,
,d02vip,Picea abies,13,2,0,
,d02vip,Quercus robur,1,1,0,
,d03vip,Acer pseudoplatanus,,1,,mayority. 6 per m2 average
,d03vip,Picea abies,,1,,
,d03vip,Carpinus betulus,,1,,
,d03vip,Acer pseudoplatanus,,2,,
,d05vip,Fagus sylvatica,2,2,0,
,d05vip,Fagus sylvatica,1,2,0,dry
,d05vip,Fagus sylvatica,1,1,1,from stump
,d05vip,Fagus sylvatica,1,2,0,
,d05vip,Fagus sylvatica,2,1,1,from stump
,d07vip,Unknown,9,1,0,
,d08vip,Picea abies,3,1,0,dry
,d08vip,Fagus sylvatica,2,1,1,
,d08vip,Fagus sylvatica,5,1,0,
,d08vip,Picea abies,1,1,0,
,d08vip,Fagus sylvatica,4,1,1,
,d08vip,Fagus sylvatica,5,1,0,
,d08vip,Sorbus aucuparia,1,1,0,
,d08vip,Quercus robur,1,1,0,
,d08vip,Fagus sylvatica,2,1,0,
,d08vip,Fagus sylvatica,1,1,1,
,d08vip,Picea abies,2,1,0,dry
,d08vip,Quercus robur,1,1,0,
,d08vip,Fagus sylvatica,3,1,0,
,d08vip,Picea abies,1,1,0,
,d08vip,Fagus sylvatica,3,1,0,
,d08vip,Fagus sylvatica,3,1,1,
,d08vip,Picea abies,2,1,0,dry
,d08vip,Picea abies,2,1,0,
,d08vip,Quercus robur,2,1,0,
,d08vip,Sorbus aucuparia,5,1,0,
,d08vip,Fagus sylvatica,3,1,0,
,d08vip,Fagus sylvatica,3,1,1,
,d08vip,Fraxinus excelsior,1,1,0,
,d08vip,Quercus robur,1,1,1,
,d08vip,Fagus sylvatica,11,1,0,
,d08vip,Quercus robur,1,1,0,
,d08vip,Fagus sylvatica,5,1,0,
,d08vip,Quercus robur,3,1,0,
,d08vip,Picea abies,6,1,0,
,d08vip,Fagus sylvatica,4,1,0,
,d08vip,Sorbus aucuparia,2,1,0,
,d09,Corylus avellana,10,2,0,
,d09,Fraxinus excelsior,1,1,0,
,d09,Fraxinus excelsior,1,2,0,
,d09,Fagus sylvatica,1,1,1,
,d09,Unknown,3,2,0,
,d09,Carpinus betulus,1,1,1,
,d09,Fraxinus excelsior,2,1,1,
,d09,Betula pendula,1,2,0,
,d09,Unknown,2,1,0,
